Variable,File
fx_x2jx_di21,115_20251022_112031_50tables.xlsx
fx_x2jx_di22,115_20251022_112031_50tables.xlsx
fx_x2jx_di23,115_20251022_112031_50tables.xlsx
fx_x2jx_di24,115_20251022_112031_50tables.xlsx
fx_x2jx_di25,115_20251022_112031_50tables.xlsx
fx_x2jx_di26,115_20251022_112031_50tables.xlsx
fx_x2jx_di27,115_20251022_112031_50tables.xlsx
fx_x2jx_di3,115_20251022_112031_50tables.xlsx
fx_x2jx_di4,115_20251022_112031_50tables.xlsx
fx_x2jx_di5,115_20251022_112031_50tables.xlsx
fx_x2jx_di6,115_20251022_112031_50tables.xlsx
fx_x2jx_di7,115_20251022_112031_50tables.xlsx
fx_x2jx_di8,115_20251022_112031_50tables.xlsx
fx_x2jx_di9,115_20251022_112031_50tables.xlsx
fx_x2jx_do1,115_20251022_112031_50tables.xlsx
fx_x2jx_do10,115_20251022_112031_50tables.xlsx
fx_x2jx_do2,115_20251022_112031_50tables.xlsx
fx_x2jx_do3,115_20251022_112031_50tables.xlsx
fx_x2jx_do4,115_20251022_112031_50tables.xlsx
fx_x2jx_do5,115_20251022_112031_50tables.xlsx
fx_x2jx_do6,115_20251022_112031_50tables.xlsx
fx_x2jx_do7,115_20251022_112031_50tables.xlsx
fx_x2jx_do8,115_20251022_112031_50tables.xlsx
fx_x2jx_do9,115_20251022_112031_50tables.xlsx
fx_x2sx1_ai2,115_20251022_112031_50tables.xlsx
fx_x2sx1_ai38,116_20251022_112055_50tables.xlsx
fx_x2sx1_ao1,116_20251022_112055_50tables.xlsx
fx_x2sx1_ao2,116_20251022_112055_50tables.xlsx
fx_x2sx1_ao3,116_20251022_112055_50tables.xlsx
fx_x2sx1_ao4,116_20251022_112055_50tables.xlsx
fx_x2sx1_ao5,116_20251022_112055_50tables.xlsx
