experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
165,3145,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041997,0.021404,-0.083949,-4.4e-05,0.028271,True
166,3158,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.046358,0.021455,-0.08841,-0.004307,0.023909,True
167,3171,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.021683,0.02094,-0.062725,0.01936,0.048585,False
168,3184,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.057858,0.021767,-0.10052,-0.015195,0.01241,True
169,3197,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.044128,0.021155,-0.085592,-0.002663,0.02614,True
170,3210,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.045516,0.0216,-0.087852,-0.003181,0.024751,True
171,3223,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.002978,0.020688,-0.043525,0.03757,0.06729,False
172,3236,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.023699,0.020935,-0.064731,0.017334,0.046569,False
173,3249,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038055,0.02145,-0.080097,0.003987,0.032213,True
174,3262,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.022072,0.020058,-0.061386,0.017242,0.048195,False
175,3275,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.01355,0.02023,-0.053201,0.026102,0.056718,False
176,3288,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.031463,0.021952,-0.07449,0.011563,0.038804,True
177,3301,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027721,0.021828,-0.070503,0.015061,0.042547,True
178,3314,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.002844,0.021278,-0.038861,0.044549,0.073112,False
179,3327,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.07691,0.021239,-0.118538,-0.035282,-0.006642,True
180,3340,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.048733,0.020913,-0.089722,-0.007744,0.021535,True
181,3353,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.053422,0.021435,-0.095434,-0.01141,0.016846,True
182,3366,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.006662,0.02102,-0.047861,0.034538,0.063606,False
183,3379,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.044416,0.021256,-0.086079,-0.002754,0.025851,True
